"Name","Style","ABV","Ratings","Avg","Score","Reviews","pDev","State","Brewery","Beer_URL"
"Tuxedo Black IPA","American Black Ale",7,47,3.66,83,9,15.57,"AL","Blue Pants Brewery","/beer/profile/23966/89793/"
"Weedy's Double Knee","American Double / Imperial IPA",8.7,70,3.95,87,12,12.66,"AL","Blue Pants Brewery","/beer/profile/23966/96807/"
"Wheat With Peaches","Berliner Weissbier",5.25,25,4.02,86,6,10.7,"AL","Blue Pants Brewery","/beer/profile/23966/169482/"
"American Blonde","American Blonde Ale",5.5,53,3.68,83,9,10.6,"AL","Cahaba Brewing Company","/beer/profile/27947/98139/"
"Fraxinus Maximus","American Double / Imperial IPA",8.5,33,4.04,87,6,10.15,"AL","Cahaba Brewing Company","/beer/profile/27947/93112/"
"Kiwi Kölsch","Kölsch",6,21,3.4,82,3,16.47,"AL","Cahaba Brewing Company","/beer/profile/27947/98140/"
"Liquidambar","American Amber / Red Ale",5.25,33,3.83,85,3,10.18,"AL","Cahaba Brewing Company","/beer/profile/27947/86594/"
"Oka Uba IPA","American IPA",7.5,50,3.84,85,9,9.11,"AL","Cahaba Brewing Company","/beer/profile/27947/86596/"
"Oktoberfest Bier","Märzen / Oktoberfest",6.5,12,3.73,84,1,13.14,"AL","Cahaba Brewing Company","/beer/profile/27947/102015/"
"Ryezome Rye Stout","American Stout",5.8,23,3.97,86,2,8.56,"AL","Cahaba Brewing Company","/beer/profile/27947/86595/"
"Downtown North Porter","American Porter",9.1,27,4.8,92,2,15.63,"AL","Druid City Brewing Company","/beer/profile/30490/110921/"
"Druid City Lamplighter IPA","American IPA",5.9,26,4.17,87,3,8.87,"AL","Druid City Brewing Company","/beer/profile/30490/96281/"
"Druid City Pale Ale","American Pale Ale (APA)",6.2,21,3.93,85,2,10.69,"AL","Druid City Brewing Company","/beer/profile/30490/92902/"
"Druid City Wheat","Witbier",5,14,3.58,83,2,15.08,"AL","Druid City Brewing Company","/beer/profile/30490/89025/"
"Everyday Ale","English Pale Mild Ale",3.8,14,3.55,83,2,15.21,"AL","Fairhope Brewing Company","/beer/profile/30314/91890/"
"FiftyOne Pale Ale","American Pale Ale (APA)",5.8,53,3.71,84,11,9.7,"AL","Fairhope Brewing Company","/beer/profile/30314/91891/"
"I Drink Therefore I Amber","American Amber / Red Ale",5.9,47,3.63,83,13,9.09,"AL","Fairhope Brewing Company","/beer/profile/30314/104488/"
"Judge Roy Bean Coffee Stout","Milk / Sweet Stout",5.5,76,3.94,87,22,10.91,"AL","Fairhope Brewing Company","/beer/profile/30314/104082/"
"Painted Black IPA","American Black Ale",7,15,4.01,85,1,12.22,"AL","Fairhope Brewing Company","/beer/profile/30314/91893/"
"Take The Causeway IPA","American IPA",8.2,99,4.13,90,25,9.93,"AL","Fairhope Brewing Company","/beer/profile/30314/96439/"
"Bearded Lady","American Pale Wheat Ale",4.2,118,3.64,83,21,13.74,"AL","Good People Brewing Company","/beer/profile/17282/83312/"
"Brown","American Brown Ale",5.8,320,3.85,86,91,10.39,"AL","Good People Brewing Company","/beer/profile/17282/43455/"
"Coffee Oatmeal Stout","Oatmeal Stout",6,429,4.07,90,101,10.81,"AL","Good People Brewing Company","/beer/profile/17282/45303/"
"El Gordo","Russian Imperial Stout",13.9,107,4.44,94,27,9.46,"AL","Good People Brewing Company","/beer/profile/17282/59949/"
"El Gordo (Barrel Aged)","Russian Imperial Stout",13.9,12,4.57,88,4,5.25,"AL","Good People Brewing Company","/beer/profile/17282/258202/"
"Fatso","Russian Imperial Stout",8.5,83,4.22,91,21,9.48,"AL","Good People Brewing Company","/beer/profile/17282/50340/"
"Hitchhiker","American IPA",7.4,102,4.28,92,22,8.64,"AL","Good People Brewing Company","/beer/profile/17282/59950/"
"IPA","American IPA",7.2,574,3.81,86,140,12.86,"AL","Good People Brewing Company","/beer/profile/17282/44713/"
"Juco","American IPA",4.2,11,3.96,85,4,9.6,"AL","Good People Brewing Company","/beer/profile/17282/282047/"
"Mumbai Rye","American IPA",6.6,54,4.06,88,18,12.07,"AL","Good People Brewing Company","/beer/profile/17282/50339/"
"Pale Ale","American Pale Ale (APA)",5.6,211,3.7,84,39,11.08,"AL","Good People Brewing Company","/beer/profile/17282/43676/"
"Snake Handler Double IPA","American Double / Imperial IPA",10,548,4.16,92,116,11.06,"AL","Good People Brewing Company","/beer/profile/17282/50194/"
"Strongman Belgian Strong Dark","Belgian Strong Dark Ale",10.3,24,4.31,88,3,8.82,"AL","Good People Brewing Company","/beer/profile/17282/55368/"
"Urban Farmer","Saison / Farmhouse Ale",5.6,23,3.42,82,4,10.23,"AL","Good People Brewing Company","/beer/profile/17282/232725/"
"Cave City Lager","American Amber / Red Lager",5.2,37,3.56,82,6,13.2,"AL","Old Black Bear Brewing Company","/beer/profile/28529/78922/"
"Milepost 652 ESB","Extra Special / Strong Bitter (ESB)",6,22,3.45,82,3,17.68,"AL","Old Black Bear Brewing Company","/beer/profile/28529/78920/"
"Alabama Pale Ale","American IPA",6.8,12,3.17,81,0,20.19,"AL","Railyard Brewing Company","/beer/profile/30127/103609/"
"Rammer Jammer","Light Lager",4.2,18,2.87,79,2,29.97,"AL","Rammer Jammer Beer Company","/beer/profile/32972/101685/"
"AstroNut Brown Ale","American Brown Ale",5.8,18,4.03,86,5,7.69,"AL","Rocket Republic Brewing Company","/beer/profile/31547/98842/"
"Mach 1 IPA","American IPA",6.9,16,3.81,84,4,16.54,"AL","Rocket Republic Brewing Company","/beer/profile/31547/102009/"
"Peanut Butter Astronut Brown Ale","American Brown Ale",5.8,10,3.97,85,1,14.86,"AL","Rocket Republic Brewing Company","/beer/profile/31547/123091/"
"Terrestri-Ale Tripel","Tripel",8.4,10,3.89,84,1,9.25,"AL","Rocket Republic Brewing Company","/beer/profile/31547/115524/"
"Vapor Trail Cream Ale","Cream Ale",5,17,3.65,83,3,15.62,"AL","Rocket Republic Brewing Company","/beer/profile/31547/93682/"
"HopNaughty IPA","American IPA",7,12,4.1,85,2,12.44,"AL","Salty Nut Brewery","/beer/profile/32784/102002/"
"Handy's Gold","American Blonde Ale",4.9,20,3.73,84,2,8.58,"AL","Singin' River Brewing Co.","/beer/profile/34303/117165/"
"IPA","American IPA",6.2,27,3.7,84,4,11.62,"AL","Singin' River Brewing Co.","/beer/profile/34303/117167/"
"The Swamper Porter","American Porter",5.5,29,3.97,86,7,8.06,"AL","Singin' River Brewing Co.","/beer/profile/34303/117166/"
"Bourbon Barrel-Aged Laika Stout","Russian Imperial Stout",11.7,161,4.19,91,27,8.83,"AL","Straight To Ale","/beer/profile/22655/101507/"
"Brother Joseph's Belgian Dubbel","Dubbel",7,156,3.72,84,27,11.56,"AL","Straight To Ale","/beer/profile/22655/57725/"
"Cabernet Barrel-Aged Laika Stout","Russian Imperial Stout",11.7,167,4.3,93,36,10.93,"AL","Straight To Ale","/beer/profile/22655/103944/"
"Dark Planet","English Strong Ale",9,40,3.96,86,8,12.12,"AL","Straight To Ale","/beer/profile/22655/101590/"
"Gorillanaut Imperial IPA","American Double / Imperial IPA",9,114,3.87,86,26,14.21,"AL","Straight To Ale","/beer/profile/22655/57726/"
"He Ain't Heffe","Hefeweizen",5,53,3.65,83,13,13.15,"AL","Straight To Ale","/beer/profile/22655/83872/"
"Hell Or Rye Water Rye Pale Ale","Rye Beer",6.2,30,3.86,85,4,13.73,"AL","Straight To Ale","/beer/profile/22655/85144/"
"Hellfire Belgian Strong Ale","Quadrupel (Quad)",10,49,3.94,86,9,11.68,"AL","Straight To Ale","/beer/profile/22655/62623/"
"Illudium","Old Ale",11.5,86,4.21,90,15,9.5,"AL","Straight To Ale","/beer/profile/22655/110053/"
"Intimidator Dopplebock","Doppelbock",9,16,3.95,85,6,9.11,"AL","Straight To Ale","/beer/profile/22655/89873/"
"Laika Russian Imperial Stout","Russian Imperial Stout",9.75,173,4.04,89,43,11.14,"AL","Straight To Ale","/beer/profile/22655/64644/"
"Lily Flagg Milk Stout","Milk / Sweet Stout",5,242,3.63,82,49,14.05,"AL","Straight To Ale","/beer/profile/22655/57724/"
"Monkey's Uncle IPA","American Double / Imperial IPA",7.75,59,3.82,85,14,14.4,"AL","Straight To Ale","/beer/profile/22655/65913/"
"Monkeynaut IPA","American IPA",7.25,554,3.9,87,98,12.31,"AL","Straight To Ale","/beer/profile/22655/57722/"
"Olde Towne Pumpkin Ale","Pumpkin Ale",5,31,3.81,85,8,12.86,"AL","Straight To Ale","/beer/profile/22655/130511/"
"Redstone Oktoberfest","Märzen / Oktoberfest",NA,12,3.47,83,2,10.37,"AL","Straight To Ale","/beer/profile/22655/131413/"
"Rocket City Red","American Amber / Red Ale",5,20,3.21,81,5,25.23,"AL","Straight To Ale","/beer/profile/22655/85346/"
"Sand Island Lighthouse","Kölsch",5.1,108,3.65,83,19,15.62,"AL","Straight To Ale","/beer/profile/22655/71133/"
"Unobtanium Barrel-Aged Old Ale","Old Ale",11.5,235,4.11,91,55,11.92,"AL","Straight To Ale","/beer/profile/22655/59332/"
"Velvet Evil","Old Ale",13,61,4.1,88,17,10.49,"AL","Straight To Ale","/beer/profile/22655/129500/"
"Vern's Wheat Wine Ale","Wheatwine",11,42,3.79,85,10,13.19,"AL","Straight To Ale","/beer/profile/22655/84423/"
"Wernher Von Brown Ale","English Brown Ale",5,22,3.69,84,5,10.84,"AL","Straight To Ale","/beer/profile/22655/57723/"
"Bankston 88","Belgian Pale Ale",4.5,13,3.62,83,2,14.36,"AL","Trimtab Brewing Company","/beer/profile/33996/141738/"
"Cuba Libre Rye Brown Ale","American Brown Ale",NA,12,4.03,85,0,6.95,"AL","Trimtab Brewing Company","/beer/profile/33996/115465/"
"Cucumber Saison","Saison / Farmhouse Ale",4.6,15,3.17,81,1,29.97,"AL","Trimtab Brewing Company","/beer/profile/33996/112309/"
"IPA","American IPA",6.3,99,3.95,87,25,11.14,"AL","Trimtab Brewing Company","/beer/profile/33996/112327/"
"Olde Ale","Old Ale",9,14,3.98,85,3,7.54,"AL","Trimtab Brewing Company","/beer/profile/33996/112314/"
"Pillar To Post Rye","American Brown Ale",5,57,3.91,86,7,9.97,"AL","Trimtab Brewing Company","/beer/profile/33996/112315/"
"Raspberry Berliner Weisse","Berliner Weissbier",5.5,76,4.12,89,9,9.71,"AL","Trimtab Brewing Company","/beer/profile/33996/112321/"
"Tesserae Double IPA","American Double / Imperial IPA",8.5,12,4.21,86,4,9.03,"AL","Trimtab Brewing Company","/beer/profile/33996/171651/"
"1819","Dubbel",7.4,11,3.56,83,4,13.76,"AL","Yellowhammer Brewing","/beer/profile/24814/92447/"
"American IPA","American IPA",6.8,24,3.86,85,8,8.03,"AL","Yellowhammer Brewing","/beer/profile/24814/71335/"
"Belgian White Ale","Witbier",4.8,42,3.75,84,11,10.93,"AL","Yellowhammer Brewing","/beer/profile/24814/65953/"
"Dark Hammer","Quadrupel (Quad)",9.6,19,3.96,85,4,10.1,"AL","Yellowhammer Brewing","/beer/profile/24814/110486/"
"Frankenhammer","Belgian Strong Dark Ale",10.5,28,4.21,88,7,9.74,"AL","Yellowhammer Brewing","/beer/profile/24814/74770/"
"Hop Revival","American Double / Imperial IPA",9.2,32,4.07,87,6,17.69,"AL","Yellowhammer Brewing","/beer/profile/24814/71334/"
"Lost Highway","Schwarzbier",5.8,44,3.81,85,9,11.29,"AL","Yellowhammer Brewing","/beer/profile/24814/79385/"
"Miracle Worker Tripel","Tripel",9.6,23,4,86,7,10.25,"AL","Yellowhammer Brewing","/beer/profile/24814/74550/"
"Rebellion","American Amber / Red Lager",6,36,3.68,83,11,11.96,"AL","Yellowhammer Brewing","/beer/profile/24814/105404/"
"Tobacco Road","American Amber / Red Ale",9.4,34,4.12,87,11,11.41,"AL","Yellowhammer Brewing","/beer/profile/24814/67027/"
"Golden Dahl","Tripel",9,12,3.92,85,2,13.27,"AK","49th State Brewing Company","/beer/profile/26743/100744/"
"Smoked Märzen","Smoked Beer",7.2,10,4.15,85,4,6.75,"AK","49th State Brewing Company","/beer/profile/26743/100746/"
"Solstice IPA","American IPA",7,26,4.06,86,3,7.64,"AK","49th State Brewing Company","/beer/profile/26743/100745/"
"Alaskan Big Mountain","American Pale Ale (APA)",5.7,167,3.9,NA,NA,NA,"AK","Alaskan Brewing Co.","/beer/profile/429/112731/"
"Alaskan Freeride APA","American Pale Ale (APA)",5.3,613,3.78,85,96,10.58,"AK","Alaskan Brewing Co.","/beer/profile/429/83457/"
"Alaskan Heritage Coffee Brown Ale (Pilot Series)","American Brown Ale",7,179,3.88,87,50,8.51,"AK","Alaskan Brewing Co.","/beer/profile/429/181803/"
"Alaskan Hop Turn ( Rough Draft)","American IPA",7.5,86,3.76,84,25,7.71,"AK","Alaskan Brewing Co.","/beer/profile/429/135848/"
"Alaskan Hopothermia","American Double / Imperial IPA",8.5,852,3.9,87,120,10,"AK","Alaskan Brewing Co.","/beer/profile/429/87556/"
"Alaskan Husky IPA","American IPA",7,59,3.8,85,17,7.89,"AK","Alaskan Brewing Co.","/beer/profile/429/261194/"
"Alaskan Imperial IPA (Pilot Series)","American Double / Imperial IPA",8.5,126,3.62,82,72,11.33,"AK","Alaskan Brewing Co.","/beer/profile/429/67154/"
"Alaskan Imperial Red Ale (Pilot Series)","American Amber / Red Ale",8.5,263,3.86,86,64,9.33,"AK","Alaskan Brewing Co.","/beer/profile/429/87774/"
"Alaskan Jalapeño Imperial IPA","Chile Beer",8.5,146,3.78,85,35,11.11,"AK","Alaskan Brewing Co.","/beer/profile/429/42652/"
"Alaskan Kicker","American IPA",4.5,72,3.54,82,18,9.89,"AK","Alaskan Brewing Co.","/beer/profile/429/193444/"
"Alaskan Perseverance Russian Imperial Stout (30th Anniversary)","Russian Imperial Stout",9,72,4.04,88,30,7.92,"AK","Alaskan Brewing Co.","/beer/profile/429/247183/"
"Alaskan Pumpkin Ale (Rough Draft)","Pumpkin Ale",6,102,3.55,82,30,9.58,"AK","Alaskan Brewing Co.","/beer/profile/429/150766/"
"Alaskan Raspberry Wheat (Pilot Series)","Fruit / Vegetable Beer",6.5,157,3.63,83,49,12.4,"AK","Alaskan Brewing Co.","/beer/profile/429/58251/"
"Alaskan Smack Of Grapefruit IPA (Pilot Series)","American IPA",7.2,39,4.03,87,14,7.44,"AK","Alaskan Brewing Co.","/beer/profile/429/262199/"
"Alaskan SMaSH Galaxy Single Hop","American Double / Imperial IPA",8.5,60,3.99,87,15,7.52,"AK","Alaskan Brewing Co.","/beer/profile/429/234545/"
"Alaskan Stout","Oatmeal Stout",5.7,444,3.74,84,217,12.83,"AK","Alaskan Brewing Co.","/beer/profile/429/1305/"
"Alaskan Summer Ale","Kölsch",5.3,799,3.6,82,304,11.94,"AK","Alaskan Brewing Co.","/beer/profile/429/3961/"
"Alaskan White","Witbier",5.3,748,3.4,78,181,13.82,"AK","Alaskan Brewing Co.","/beer/profile/429/49070/"
"Alaskan Winter Ale","Old Ale",6.4,840,3.65,83,364,13.7,"AK","Alaskan Brewing Co.","/beer/profile/429/1768/"
"A Deal With The Devil","American Barleywine",17.3,992,4.49,99,134,8.91,"AK","Anchorage Brewing Company","/beer/profile/24903/89499/"
"Anadromous","American Wild Ale",8.5,288,3.87,87,59,14.21,"AK","Anchorage Brewing Company","/beer/profile/24903/94617/"
"Anchorage / Jolly Pumpkin Calabaza Boreal","Saison / Farmhouse Ale",7,320,4.17,92,56,7.19,"AK","Anchorage Brewing Company","/beer/profile/24903/123823/"
"Crazy Rays IPA","American IPA",6,11,4.27,86,0,6.32,"AK","Anchorage Brewing Company","/beer/profile/24903/225079/"
"Darkest Hour","American Double / Imperial Stout",13,330,4.25,93,64,10.12,"AK","Anchorage Brewing Company","/beer/profile/24903/94657/"
"Galaxy White IPA","Belgian IPA",7,934,4.05,90,226,10.86,"AK","Anchorage Brewing Company","/beer/profile/24903/77230/"
"Love And The Death Of Damnation","American IPA",6.5,41,4.22,89,11,4.98,"AK","Anchorage Brewing Company","/beer/profile/24903/248688/"
"Love Buzz Saison","Saison / Farmhouse Ale",8,802,4.24,94,222,9.2,"AK","Anchorage Brewing Company","/beer/profile/24903/72810/"
"Mosaic Saison","Saison / Farmhouse Ale",6.5,283,4.15,91,65,6.75,"AK","Anchorage Brewing Company","/beer/profile/24903/167155/"
"The Tide And Its Takers","Tripel",9,504,4.14,92,150,9.66,"AK","Anchorage Brewing Company","/beer/profile/24903/77228/"
"Triple IPA","American Double / Imperial IPA",9,11,4.59,87,3,8.71,"AK","Anchorage Brewing Company","/beer/profile/24903/170345/"
"Whiteout Wit","Witbier",6.5,423,3.95,88,155,11.39,"AK","Anchorage Brewing Company","/beer/profile/24903/70194/"
"Boxcar Porter","American Porter",5.3,11,3.97,85,3,19.65,"AK","Arkose Brewing","/beer/profile/29018/102051/"
"Halibut Point Hefeweizen","Hefeweizen",4.7,11,3.55,83,6,11.83,"AK","Baranof Island Brewing","/beer/profile/31116/96377/"
"Medvejie Stout","American Stout",7.35,23,3.96,86,13,9.09,"AK","Baranof Island Brewing","/beer/profile/31116/96256/"
"Peril Strait Pale Ale","American Pale Ale (APA)",5,12,3.51,83,4,7.98,"AK","Baranof Island Brewing","/beer/profile/31116/96228/"
"Silver Bay IPA","American IPA",6.5,33,3.61,83,10,9.14,"AK","Baranof Island Brewing","/beer/profile/31116/96194/"
"Sitka Spruce Tip","Herbed / Spiced Beer",7,15,3.6,83,7,9.72,"AK","Baranof Island Brewing","/beer/profile/31116/111370/"
"Barley Wine","American Barleywine",10,11,3.71,84,5,7.28,"AK","Broken Tooth Brewing","/beer/profile/386/1100/"
"Bear Tooth Ale","American Brown Ale",6.2,18,3.79,84,8,10.82,"AK","Broken Tooth Brewing","/beer/profile/386/39869/"
"Darth Delirium","Belgian Strong Dark Ale",10.5,16,3.76,84,3,15.16,"AK","Broken Tooth Brewing","/beer/profile/386/40515/"
"Fairweather IPA","American IPA",6.1,57,4.01,87,17,8.98,"AK","Broken Tooth Brewing","/beer/profile/386/1102/"
"Hard Apple Ale","Fruit / Vegetable Beer",5.2,18,4.01,86,5,8.23,"AK","Broken Tooth Brewing","/beer/profile/386/40069/"
"Hefeweizen","Hefeweizen",4.2,10,3.08,81,2,17.53,"AK","Broken Tooth Brewing","/beer/profile/386/1103/"
"Moonflower ESB","Extra Special / Strong Bitter (ESB)",5.1,19,3.62,83,7,16.3,"AK","Broken Tooth Brewing","/beer/profile/386/18492/"
"Pipeline Stout","American Stout",5.9,22,3.96,85,2,10.86,"AK","Broken Tooth Brewing","/beer/profile/386/1107/"
"Polar Pale Ale","American Pale Ale (APA)",5.1,12,3.95,85,3,12.91,"AK","Broken Tooth Brewing","/beer/profile/386/1109/"
"Prince William's Porter","American Porter",4.8,17,4.12,86,3,13.11,"AK","Broken Tooth Brewing","/beer/profile/386/1108/"
"Raspberry Wheat","Fruit / Vegetable Beer",4.1,13,4.01,85,3,11.72,"AK","Broken Tooth Brewing","/beer/profile/386/1110/"
"Chuli Stout","Irish Dry Stout",5.9,57,3.93,86,12,10.18,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/54066/"
"Matt Porter","English Porter",NA,10,4.03,85,2,13.4,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/77173/"
"Mother Ale","American Blonde Ale",5.4,40,3.56,82,5,11.8,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/60991/"
"Schwarzbier","Schwarzbier",5.6,11,3.8,84,2,6.84,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/211448/"
"Single Engine Red","American Amber / Red Ale",5.6,57,3.63,83,11,9.37,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/71744/"
"Twister Creek IPA","American IPA",6.7,100,3.97,87,15,9.57,"AK","Denali Brewing Company / Twister Creek Restaurant","/beer/profile/21517/67457/"
"Amber Ale","American Amber / Red Ale",5.67,28,3.95,86,10,9.37,"AK","Glacier Brewhouse","/beer/profile/377/1046/"
"Bavarian Hefeweizen","Hefeweizen",5,22,3.8,84,6,12.89,"AK","Glacier Brewhouse","/beer/profile/377/25331/"
"Beam Stout (Jim Beam Barrel Aged)","Oatmeal Stout",5.4,10,4.48,87,4,6.92,"AK","Glacier Brewhouse","/beer/profile/377/5254/"
"Big Woody Barley Wine","English Barleywine",10.75,38,4.38,90,18,5.48,"AK","Glacier Brewhouse","/beer/profile/377/27971/"
"Blonde","American Blonde Ale",4.76,18,3.41,82,3,19.06,"AK","Glacier Brewhouse","/beer/profile/377/1045/"
"Double IPA","American Double / Imperial IPA",7.61,15,3.94,85,5,11.68,"AK","Glacier Brewhouse","/beer/profile/377/29327/"
"Ice Axe Ale (Imperial Blonde)","American Strong Ale",9,26,3.18,80,9,22.01,"AK","Glacier Brewhouse","/beer/profile/377/71037/"
"India Pale Ale","American IPA",6.35,64,4,87,25,9.75,"AK","Glacier Brewhouse","/beer/profile/377/1047/"
"Oatmeal Stout","Oatmeal Stout",5.61,31,3.79,84,11,12.14,"AK","Glacier Brewhouse","/beer/profile/377/1048/"
